O3,PM10,PM2.5,PM2.5Diff,DayWeek,Hour,PRS,RAINF,RH,SR,TOUT,WSR,WDV,CONT
46,50,21,4,7,16,717.4,0,33,0.216,35,9.5,96,0
3,102,32,1,6,4,715.6,0,93,0,20.81,2.5,313,0
37,78,10,9,2,9,717.6,0,62,0.533,30.27,4.3,18,0
4,41,28,4,1,2,717.7,0,95,0,19.64,4.1,99,0
12,148,16,94,6,17,715.1,0.02,70,0.02,27.67,5.1,103,0
13,57,15,7,2,4,719.1,0,88,0.005,22.2,4.4,52,0
16,61,14,5,5,21,726.6,0,85,0,4.25,6.2,107,0
9,45,8,0,6,7,717.5,0,82,0.127,25.31,3.6,59,0
3,173,34,28,4,8,715.7,0,92,0.258,17.23,4.3,326,0
36,69,15,6,3,13,718.4,0,58,0.787,29.76,12.3,107,0
3,57,12,7,2,7,716.9,0,84,0.095,23.74,1.4,284,0
11,191,32,36,4,20,718.6,0,87,0.23,19.71,5.9,122,0
10,62,15,1,7,20,720.7,0,50,0,30.38,10.1,111,0
26,53,13,4,7,17,719.9,0,40,0.363000005,33.16,16,119,0
29,91,16,12,2,17,716.9,0,74,0.115,24.84,9.9,117,0
43,86,5,30,3,16,717.5,0,37,0.307,25.5,12.8,112,0
15,60,8,2,6,8,717.7,0,79,0.296,26.48,4.6,31,0
14,61,19,11,1,0,719.2,0,77,0,25.63,6.5,65,0
27,45,22,2,1,10,719.2,0,85,0.15,20.78,6.1,72,0
9,96,19,8,4,5,716.2,0,94,0,19.12,3.3,36,0
22,64,13,6,1,19,717.2,0,78,0,23.14,8.6,93,0
5,104,31,11,5,21,728.6,0,71,0,9.81,3,321,0
16,99,21,1,4,19,716.1,0,58,0,14.92,10.4,106,0
8,85,14,16,7,21,721.2,0,56,0,29.12,11.9,104,0
11,54,25,8,3,2,716.9,0,85,0,25.39,6.7,68,0
35,50,5,18,1,0,715.9,0,73,0,23.76,11.1,83,0
20,86,12,7,1,20,720.9,0,56,0,25.72,9,107,0
11,100,13,2,2,9,734.2,0,78,0.088,7.63,4.5,84,0
8,67,37,4,5,18,721,0,93,0.008,6.7,3.7,58,0
32,69,25,0,1,17,717.2,0,59,0.326999992,31.92,14,117,0
38,45,9,7,3,10,720.5,0,44,0.676,19.63,12.1,351,0
19,26,7,8,6,11,724.3,0,96,0.09,7.07,7.9,107,0
23,68,26,3,6,19,714.3,0,39,0.005,35.15,10.5,96,0
58,60,24,7,6,17,718.8,0,45,0.268,26.71,11.8,115,0
10,112,37,32,3,7,720.3,0,93,0.036,18.88,4.6,73,0
37,84,20,5,5,15,717.3,0,52,0.688000023,32.3,14.5,116,0
15,219,18,41,2,11,722.3,0,47,0.315,21.09,3.2,105,0
3,48,15,13,3,1,719.3,0,62,0,17.46,3.3,325,0
21,89,34,10,5,0,717.4,0,90,0,17.31,7.3,124,0
9,34,5,20,7,3,719.3,0.25,95,0.009,20.73,3.7,339,0
38,98,27,14,7,10,717.7,0,69,0.691,29.51,7.1,66,0
4,44,40,28,2,19,726.4,0,87,0,4.83,7.8,352,0
34,83,36,6,6,20,716.8,0,60,0,29.89,8.7,73,0
40,20,10,2,6,3,723.2,0.08,94,0.02,8.44,12.6,109,0
11,14,5,2,5,3,725.3,0.01,94,0,4.56,8.1,352,0
52,81,10,18,5,11,722.1,0,47,0.799,31.15,6.2,59,0
16,113,33,26,2,0,722.6,0,81,0,20.45,8.8,356,0
6,60,38,32,7,23,720.5,0,95,0.015,18.42,6.2,124,0
21,41,28,11,5,1,725.7,0,75,0,9.36,3.9,55,0
4,111,27,4,5,6,719.7,0,90,0.034000002,21.55,4.7,49,0
28,67,33,10,6,17,729.7,0,58,0.061,8.88,7.9,142,0
16,54,9,18,4,8,719.9,0,75,0.177000001,25.5,5,61,0
11,111,15,4,5,22,717.5,0,85,0.03,25.27,12.7,112,0
